Files already downloaded and verified
('Finish teacher outputs:', 23.630568981170654, 's')
Train Epoch: 2 [30080/50000 (60%)], Loss: 2.461780, Top1:38.379, Top5:67.569
Train Epoch: 2 [30720/50000 (61%)], Loss: 2.729300, Top1:38.361, Top5:67.551
Train Epoch: 2 [31360/50000 (63%)], Loss: 2.313146, Top1:38.439, Top5:67.665
Train Epoch: 2 [32000/50000 (64%)], Loss: 2.241101, Top1:38.473, Top5:67.768
Train Epoch: 2 [32640/50000 (65%)], Loss: 2.009354, Top1:38.592, Top5:67.888
Train Epoch: 2 [33280/50000 (66%)], Loss: 2.386756, Top1:38.649, Top5:67.922
Train Epoch: 2 [33920/50000 (68%)], Loss: 2.338010, Top1:38.621, Top5:67.956
Train Epoch: 2 [34560/50000 (69%)], Loss: 2.281899, Top1:38.664, Top5:68.011
Train Epoch: 2 [35200/50000 (70%)], Loss: 2.249334, Top1:38.640, Top5:67.964
Train Epoch: 2 [35840/50000 (72%)], Loss: 2.154066, Top1:38.639, Top5:68.004
Train Epoch: 2 [36480/50000 (73%)], Loss: 1.946852, Top1:38.663, Top5:68.022
Train Epoch: 2 [37120/50000 (74%)], Loss: 2.137158, Top1:38.683, Top5:68.094
Train Epoch: 2 [37760/50000 (75%)], Loss: 2.421229, Top1:38.682, Top5:68.102
Train Epoch: 2 [38400/50000 (77%)], Loss: 2.166190, Top1:38.688, Top5:68.136
Train Epoch: 2 [39040/50000 (78%)], Loss: 2.371758, Top1:38.751, Top5:68.154
Train Epoch: 2 [39680/50000 (79%)], Loss: 2.161549, Top1:38.778, Top5:68.207
Train Epoch: 2 [40320/50000 (81%)], Loss: 2.115658, Top1:38.788, Top5:68.240
Train Epoch: 2 [40960/50000 (82%)], Loss: 2.102963, Top1:38.807, Top5:68.280
Train Epoch: 2 [41600/50000 (83%)], Loss: 2.339851, Top1:38.858, Top5:68.332
Train Epoch: 2 [42240/50000 (84%)], Loss: 2.159726, Top1:38.864, Top5:68.310
Train Epoch: 2 [42880/50000 (86%)], Loss: 2.403681, Top1:38.923, Top5:68.349
